AA,APO/FPO for Armed Services Americas
AB,Alberta
AE,"APO/FPO for Armed Services Canada, Europe, Middle East, Africa"
AK,Alaska
AL,Alabama
AP,APO/FPO for Armed Services Pacific
AR,Arkansas
AS,American Samoa
AZ,Arizona
BC,British Columbia
CA,California
CD,"Canada, NOS"
CO,Colorado
CT,Connecticut
DC,District of Columbia
DE,Delaware
FL,Florida
FM,Federated States of Micronesia
GA,Georgia
GU,Guam
HI,Hawaii
IA,Iowa
ID,Idaho
IL,Illinois
IN,Indiana
KS,Kansas
KY,Kentucky
LA,Louisiana
MA,Massachusetts
MB,Manitoba
MD,Maryland
ME,Maine
MH,Marshall Islands
MI,Michigan
MM,"Maritime Provinces (New Brunswick, Newfoundland, Nova Scotia, Prince Edward) (Historic PLACE only)"
MN,Minnesota
MO,Missouri
MP,Northern Mariana Islands
MS,Mississippi
MT,Montana
NB,New Brunswick
NC,North Carolina
ND,North Dakota
NE,Nebraska
NH,New Hampshire
NJ,New Jersey
NL,Newfoundland and Labrador
NM,New Mexico
NN,New England and New Jersey (Historic PLACE only)
NS,Nova Scotia
NT,Northwest Territories
NU,Nunavut
NV,Nevada
NY,New York
OH,Ohio
OK,Oklahoma
ON,Ontario
OR,Oregon
PA,Pennsylvania
PE,Prince Edward Island
PP,"Prairie Provinces (Alberta, Manitoba, Saskatchewan) (Historic PLACE only)"
PR,Puerto Rico
PW,Palau (Trust Territory of Pacific Islands)
QC,Quebec
RI,Rhode Island
SC,South Carolina
SD,South Dakota
SK,Saskatchewan
TN,Tennessee
TT,Trust Territories
TX,Texas
UM,US Minor Outlying Islands
US,"United States, NOS"
UT,Utah
VA,Virginia
VI,"Virgin Islands, U.S."
VT,Vermont
WA,Washington
WI,Wisconsin
WV,West Virginia
WY,Wyoming
XX,"Country Known, Not U.S., Not Canada"
YN,"Northwest Territories, Yukon Territories (Historic PLACE only))"
YT,Yukon Territories
YY,"Country Unknown, Not U.S., Not Canada"
ZZ,Country Unknown
